ad_id,breed,audience,country_group,clicks,impressions,users,costs
ojYPaJYomw6ajnDpVl3FCvrenjKhWloEgihv7YORQ4M=,breed_1,Male,Tier1,37522,1020863,347,8472.12
3foNu68XrLomwtyI2dz08ZEcfkBVx7r7GOFgwYN3g/o=,breed_1,Male,Tier1,9526,1214471,134,2198.23
e5HOmlV+TcPoa38XRemgbXLiFAc1gAWDRhIkLkcoRZY=,breed_2,Male,Tier1,64,1564,15,271.96
cnxfvc/XAGVsCHYSlSdrVQO+0z90dPBtX9U7fZw+DYE=,breed_2,Male,Other,29210,663263,31,298.7
M5if5lSVGYMyws/gmjqc/PsEiS8vqIk3mYtoVR+b544=,breed_2,Male,Other,67425,2756535,43,475.54
rS831Gy5gh//INN9SiNibxwl5yL9AvoIEPptfnf+/b4=,breed_1,Male,Tier1,8184,176302,207,5258.84
4DhFLdzF1bDrTHA+P3KEpNXpGz4JlDTjJh9rdniHRTg=,breed_2,Male,Tier1,283,9179,31,875.05
7DnEDxHhoUinnIj35DzNJPsPd/fkFE7VgoGOF8lPbQY=,breed_1,Male,Tier1,2736,22358,53,688.45
tCPcZ4wXa7tOj4tj3TT6pFoYXbfr0QqJaaVdpqK/Tdo=,breed_2,Female,Tier1,18948,622062,71,2471.02
3oB/0E8xVBc7/ni/xLJMrB2i6I3lLGAU32FBvFT5sDw=,breed_1,Male,Other,37490,673622,41,348.61
8OT+desuNvarnrjfQxQ6TaV5jEOKsBUiTU2b67EEirg=,breed_1,Male,Other,712,21406,15,145.8
MC0uQfsqVTNSJp5ZTk+1Q7ZajunLh3Nz2ojO/YED2+I=,breed_1,Female,Tier1,9309,457656,414,3550.29
KMaq92xx1Vv/Ec9nVduX529Fvilf6+BSp7THQlOI3PQ=,Mix,Male,Tier1,1587,100673,16,231.81
B7/iAJqklvUctmeIjbraVVq2xdhdjjWl4squ4RgUA1Q=,breed_1,Male,Tier1,367,9459,12,134.52
JZXUtXjgkWdodHzwHuubSulEFvWb1qkPVwI60kChbU8=,breed_3,Male,Tier1,40224,704640,80,880.66
eAeusyKQD42x9E0lTGTJLkHCZjM9sED+bZH5Zr2bh5o=,breed_1,Male,Tier1,556,20116,70,2026.63
zh9X04mjKyFDOk6eUWBsJNSxQ7SawkDOwv0wr5g9Yxo=,breed_2,Male,Other,2588,247515,14,261.49
3+h6wUisyJEOYTbCkIHlvdXyNkxo7U66Y12PwQ4s5c4=,breed_1,Male,Tier1,1094,205276,19,240.79
gY23cJBInKyM4xW+0qFUB2PKOXraCMtZHqVFTiWaIdY=,breed_1,Male,Other,1314277,25701357,305,463.5
8OT+desuNvarnrjfQxQ6TaV5jEOKsBUiTU2b67EEirg=,breed_1,Male,Tier1,768,18517,13,348.39
XApDdVWZnRdusMsN/BX5uAwMbf2l4F4+wGmSWr3pkIs=,breed_2,Male,Other,251,11798,17,397.68
f0RezV1+TCV+ZFApsuOZH5/Tdv9LGPxXdt0GspoRnbI=,breed_3,Male,Other,6307,253750,61,590.43
pYD7F2lkIS+P1WHM5Gv6e2hnMtVmlje1/G8TY6JbBng=,breed_1,Female,Tier1,29167,1005714,112,4404.59
GWWGFkoN6zigCeVWWBLAmy/duI1vwy0O0GzapLm3Y/s=,breed_2,Male,Tier1,935,100939,15,330.78
PZO1Y3a/xgfb+sdc0UraDUBQByTSALc709gqVUbuGYE=,breed_1,Male,Tier1,668,72280,15,426.54
ukPH0Ja6qhSlO1q/IajiTVugRxAOEoHEYjGWGmXdMKI=,breed_1,Male,Tier1,1705,47360,26,1152.03
nq2TcgAGm7TDEc1h8OPOaDRFrjrRUmumZF7p592DWYo=,breed_1,Female,Tier1,976,26390,12,234.29
f/zGh4lpHZwxO8D1Qgo6Ogog1a5hPcqInupnMccAiYs=,breed_1,Male,Tier1,23260,2357580,214,8746.14
LnO3O7gTgQPnAgWFxeZT3zHR71g1Bxlcw10Bkr+bhs8=,breed_2,Male,Other,83,2803,21,284.24
aWIPpzRjJ//Eavf5/JRM5o7Nssux/ZRP4O/p+y//U8k=,Mix,Female,Tier1,5529,247672,109,7349.7
lPXHXBj0X269ga1f+zLACu1bqlXyKnabL+lxegTDCas=,breed_3,Male,Tier1,2595,126426,30,443.44
ObdvzGYA4g7ZxUwzHLzHW2OT5nlN8YSuHSSPXDbdLBs=,breed_2,Male,Other,40486,1574312,41,114.91
h2ACkYp1VqehlmxI/skcsl5Bt3Xvpek9BdHcEwQYv9o=,breed_2,Male,Tier1,5429,122012,15,479.08
0YMnbRNboS7r1Z7z+I/4C/6RjfhZRt+KiEkf9jXPEWg=,breed_1,Male,Tier1,10220,356132,85,4685.23
lHqi4fYrfmn6Tx5jjItMeQDq05Z1x0dEQvyo49YnUnI=,breed_2,Male,Tier1,35566,1231834,81,1400.23
DtO1cf5NGOY3Vy+5GcuYBWC43q9AF3jnPcsxShNe70A=,breed_3,Male,Other,50303,2448027,1147,8341.9
j6f9Q+f/IJ2E+7pDKw+N8+omj5i72X4H/K8YqBKdPZY=,breed_1,Male,Other,892,16932,28,209.89
wgLWslM7ENQCBETX4ROJjF1ZYP2s+0aPCwJQkRiopaI=,breed_2,Male,Tier1,15,1263,29,202.95
Iik0PUY68aDOJtQYs+J2bY1sLKXddfx0xesC2Ndb514=,breed_2,Male,Tier1,83,2489,18,6268.24
RJ4hsmnBXptoLEKKVj3jNdU3XKaUzztP2NRMS2MqdVg=,breed_1,Male,Tier1,289,61042,15,281.68
ENLF/YWp75FsJ+9xZhnbQ3jweZYHKJyMgKN+pH/m174=,breed_1,Male,Tier1,11316,658211,93,2132.83
bMfs3s0S/5AeOAjhG4meDhFesNIVSJw9PNuyiXPNxEI=,breed_3,Male,Tier1,320,7105,81,1356.88
7LCtlXHyPfmIxUUCZsRAPOOI1mRWECbqs/8ALkyFlOs=,breed_1,Male,Tier1,92,3615,22,581.91
nVR2SlhP19Q4sbsh2cCr4xrJ0sqZN2wcoFQgFyytEi0=,breed_3,Male,Tier1,252357,4727305,5812,67891.76
/9effjQ3GQYTHQ1ECTubVlvqWDOu5tduLsXxwGxvJLk=,breed_3,Male,Tier1,739,121160,50,1152.43
pS1WMNd3IfyPZxkpSFy7xqbTTX5V2oiSOxZucFPEjR4=,breed_1,Male,Tier1,7387,199945,114,9057.72
bdqSY1eq6xY3dQxe5R+XUulGIZioj+uDRu9/lmu0BMw=,Mix,Both,Tier1,1676,28131,10,162.42
rpsEXrDNB0fl9K5uXxnq2luTb7EYA5v0YGzwO3XgCMM=,breed_2,Male,Other,6235,179312,110,1665.19
Oy5LjR/p/+llcIRTpUSw+fk4UpwA/ywKOQa5cAfjxJg=,breed_1,Female,Tier1,576,48530,23,899.01
rS831Gy5gh//INN9SiNibxwl5yL9AvoIEPptfnf+/b4=,breed_1,Male,Other,2102,125176,42,1197.06
3jOPhkvJLu8kJZjJrnHvLSGxyY8P/rZxgXDq9pwoZ3c=,breed_1,Male,Other,1546,142362,19,401.37
YpOsI/fvU6y6n6Ew8ba7ZiGM6VY8kgTGJiZTh1KZme4=,breed_3,Male,Tier1,196,7390,14,310.21
RGj/zl5Yp7Vy1UfsyHj5SPtCyq8uj/M2wT3MCCGXHfc=,breed_3,Male,Tier1,171,9909,32,724.68
mkRFSbmfO6fCQ9rdxouZjd7L17Kf1FGY8zzbvXanYqo=,breed_2,Male,Tier1,84,2805,11,160.1
fzgSBVR9PEKc6hVM3rSVBQ5lwKKY9uyQtmzB9tS6TiA=,breed_1,Male,Other,1012,27276,22,1377.47
luJDWkXvK87BqLcWw/mwbafk4DEI/f+Oy+ZuosqODug=,breed_1,Male,Tier1,5741,309772,51,1935.76
SDPN6Y3GZYiMCklTp9UWorljzEMfB7p3Ef7R7Eu8PQg=,breed_2,Male,Tier1,154,6710,23,738.11
iGPsyZfUASsTHhVKhjkSxR+14gZb6H+iSDkPNHHiG78=,breed_1,Both,Tier1,4578,341360,39,1249.4
iZwmXRZxD+kZVIuBZyTZCQjsnoylRR98oXaolqHNNOQ=,breed_1,Female,Tier1,4314,144873,20,799.29
y1ghXDtEG+5KZZEMO5Za8pK2di8F/BWKyP4XoyCP5lQ=,breed_1,Female,Tier1,3722,201470,19,669.78
ZgoNkjTeMtRJ/A1WcN3nxhv2KoXwPvs5PzB/gc9xLP8=,breed_2,Male,Tier1,44361,1061682,59,1709.16
MNUuL/Kov9mVQIEOPWF/G9vc5eTh2i8cEyHGFlb0L1o=,breed_3,Male,Tier1,41093,1677843,25,50.77
zrwa3iVl8D6bvKEcXpQ1U5ULG6C9KCQ8bQI7sov8H90=,breed_3,Male,Tier1,15249,1195915,114,3272.47
nmsKnwXwVXYMe6hgVoI6iUrvvmn5ct7/Q/5EkZoekW4=,breed_2,Male,Tier1,21,752,21,162.22
Gu5V4QPsnO9thoml7bW61UycJc8MIFNPEKW/5d712gk=,breed_1,Female,Other,12473,542512,34,684.51
NBBRQstwsaFbQKhTXrRqVP+8gy+Gjf7Gc5QcRHv0ny4=,breed_2,Male,Other,2947,137697,41,2108.72
E5O/S853dRMhoTW/VWHPIe96GydLecQWfYK5c+3uJRU=,breed_1,Male,Tier1,22,529,11,216.92
1Mei9iQmVTSkl9x3Kv7vbdYnmOij/bG/w+AAtNqTQBk=,breed_2,Male,Tier1,348,9884,11,129.21
0AcsCF4/YfBapKfNZWNjarqqh4a+vtY2Kxc5ssQBQfE=,breed_3,Male,Tier1,6065,93317,154,6233.33
EsvUM3Cw3rremjkO5qD+n76DkztVVKCx+1KjG10OO7c=,breed_2,Male,Other,435200,5908656,254,474.89
Fuaru0fUXOkrE+th5U4/5LdHd7I0Qo1XqPU7C4RorbQ=,breed_3,Male,Tier1,176611,4940974,333,2496.3
/nVfahApLp25VuMhnf4gUM1d0DyEHtOQ0RZyI+eRjPA=,breed_2,Male,Tier1,24,363,11,180.13
cd5vU2M179wNEC8yUAKuTiVT7AlJfkam+eUp/8HggVY=,breed_2,Male,Tier1,30,1056,11,285.34
NBBRQstwsaFbQKhTXrRqVP+8gy+Gjf7Gc5QcRHv0ny4=,breed_2,Male,Tier1,3890,95816,63,1726.08
5+ht6iPJtUOYg/xM+nSp6JdDqkLeKcf8MiJZ4DPvT+k=,breed_2,Male,Other,17041,443233,32,181.46
oOFtgcNARUadR8i0+ItOe3DttTVI91boWNsCNihFaxE=,breed_1,Male,Tier1,3109,295802,33,1466.73
EbP7cv+9zeDE8oJgUk1/ZqDa9oWQdS+0DlQkDPGwgFc=,breed_1,Male,Tier1,5026,298110,54,1244.23
PKDiDoP8XFA3wfV3N5xqjpzVt1v1Xp9HhD5SEzOF800=,breed_2,Male,Tier1,19287,661555,58,1253.02
bPXl7nFTtK1hwap5PWi7g4fQw+3vWLcXYGGA+TZxlZQ=,breed_1,Female,Tier1,7453,179297,31,563.42
67NF4aLhxXGNAuwlk2HRqC9TuD61G7qBSFgI2kSCcqk=,breed_1,Male,Tier1,1659,72895,69,1012.24
4Qd47/7wo1rwsuP+1vfx+3jCMRXLDc5UVnCDdrJczlk=,breed_3,Male,Tier1,11919,307884,23,540.87
pxLiokMmqGDGNwDjelDP/LtSsK2lVPjkkQhdhqqqAtk=,breed_2,Male,Tier1,1225,51025,62,1738.44
2iY/viu9P5u4L8u6vCY1cd+ZxXuVaTFu70pFjygAinA=,breed_1,Both,Tier1,4728,418805,128,8358.76
7P1WBFe/BH2I+9E1E48mjj07oHe4CMxYnCV7PWKVyeE=,breed_1,Male,Other,1280,53917,28,819.49
NPK7nHPiN/nLWS4t/ayPRsz6nfkBA3fgQPULSkFcrOY=,breed_1,Male,Other,8448,324083,158,1519.73
7205vfYRmB1rSsBcylQIycx+3+6P/sZOXCLBsJnM04I=,breed_3,Male,Tier1,13950,297499,39,611.03
7NluxPbFL/J4Ujnsm5y38MCJKnrFa2E+ZBQsBCkqv9Q=,breed_1,Male,Tier1,1962,175303,28,1227.27
TQK7tGAqHLLYLDQW8Vw8jtYc+is/AcrZlgG9IzyAD0M=,breed_2,Male,Tier1,127,5805,14,2155.62
0NwiphR8gvu7kwdOzWSo2tgyv51++mKJK6ImGiXhn9A=,breed_3,Male,Tier1,8068,405877,173,11293.86
mImizBNT6bgTMif4h6HzZKx749EJAN7ZKHFC3G+BYKo=,breed_1,Male,Tier1,17450,986364,247,5856.12
0Q1t7C2p88O3kACQdiGRxm6H/UluWWlZV8G1t8oH1ik=,breed_2,Male,Other,767946,24549153,1551,3414.64
CHmY/DDq5uVVPe0/sdrSjKPwPZRyAbYwss3uOm1uehc=,breed_3,Male,Tier1,10548,2236554,112,2119.21
c6oxtwY1DTHquXajlkR675z/J3GWCNBLca+jdMmbqB8=,breed_3,Male,Other,1844,77880,154,991.02
sOCS1Ay6Vv+//VYWKeM2ILoXtHbsx4HU/f4DUdjASuw=,breed_1,Male,Tier1,1443,56680,41,530.09
VvBiXQ26v/CYfFgQRuwjb0B5X3TFYwn2Ej2lAjlWXoI=,breed_1,Male,Other,99,2901,20,129.16
BhETxzNL7TuwEYk3NXvyIUh2/o/GA3/e17fDwCMP5Vc=,breed_1,Male,Tier1,4726,65518,14,241.82
fzgSBVR9PEKc6hVM3rSVBQ5lwKKY9uyQtmzB9tS6TiA=,breed_1,Male,Tier1,36628,582004,681,12159.14
